name,date,socket,category,speed,turbo,cpuCount,cores,logicals,l1_cache,l2_cache,l3_cache
AMD A4-6320 APU,2014-04-01,FM2,Desktop,3800.0,4000.0,1,1,2,64.0,2048.0,0.0
AMD A4-7210 APU,2015-07-01,BGA,Laptop,1800.0,2200.0,1,4,1,64.0,2048.0,0.0
AMD A4-7300 APU,2014-09-01,FM2,Desktop,3800.0,4000.0,1,1,2,64.0,2048.0,0.0
AMD A4-9120,2017-09-01,BGA,Laptop,2200.0,2500.0,1,2,1,64.0,2048.0,0.0
AMD A4-9120C,2019-08-01,FT4,Laptop,1600.0,2400.0,1,2,1,64.0,2048.0,0.0
AMD A4-9120e,2019-06-01,FT4,Laptop,1500.0,2200.0,1,2,1,64.0,2048.0,0.0
AMD A4-9125,2018-11-01,BGA (FT4),Laptop,2300.0,2600.0,1,2,1,64.0,2048.0,0.0
AMD A6 Micro-6500T APU,2016-01-01,Unknown,Laptop,1200.0,0.0,1,4,1,64.0,2048.0,0.0
AMD A6 PRO-7050B APU,2014-09-01,FP3,Laptop,2200.0,3000.0,1,2,1,64.0,2048.0,0.0
AMD A6 PRO-7400B,2014-12-01,FM2+,Desktop,3500.0,3900.0,1,1,2,64.0,2048.0,0.0
AMD A6-1450 APU,2013-05-01,FT3,Laptop,1000.0,1400.0,1,4,1,64.0,2048.0,0.0
AMD A6-3400M APU,2011-06-01,FS1,Laptop,1400.0,2300.0,1,4,1,64.0,2048.0,0.0
AMD A6-3410MX APU,2011-07-01,FS1,Laptop,1600.0,2300.0,1,4,1,64.0,2048.0,0.0
AMD A6-3420M APU,2012-01-01,FS1,Laptop,1500.0,2400.0,1,4,1,64.0,2048.0,0.0
AMD A6-3430MX APU,2012-02-01,FS1,Laptop,1700.0,2400.0,1,4,1,64.0,2048.0,0.0
AMD A6-3500 APU,2011-09-01,FM1,Desktop,2100.0,2400.0,1,3,1,64.0,2048.0,0.0
AMD A6-3600 APU,2011-11-01,FM1,Desktop,2100.0,2400.0,1,4,1,64.0,2048.0,0.0
AMD A6-3620 APU,2012-02-01,FM1,Desktop,2200.0,2500.0,1,4,1,64.0,2048.0,0.0
AMD A6-3650 APU,2011-07-01,FM1,Desktop,2600.0,0.0,1,4,1,64.0,2048.0,0.0
AMD A6-3670 APU,2012-01-01,FM1,Desktop,2700.0,0.0,1,4,1,64.0,2048.0,0.0
AMD A6-4400M APU,2012-04-01,FS1r2,Laptop,2700.0,3200.0,1,1,2,64.0,2048.0,0.0
AMD A6-4455M APU,2012-07-01,FP2,Laptop,2100.0,2600.0,1,1,2,64.0,2048.0,0.0
AMD A6-5200 APU,2013-07-01,FT3,Laptop,2000.0,0.0,1,4,1,64.0,2048.0,0.0
AMD A6-5345M APU,2014-04-01,FP2,Laptop,2200.0,2800.0,1,2,1,64.0,2048.0,0.0
AMD A6-5350M APU,2013-07-01,FS1r2,Laptop,2900.0,3500.0,1,2,1,64.0,2048.0,0.0
AMD A6-5357M APU,2013-10-01,FP2,Laptop,2900.0,3500.0,1,2,1,64.0,2048.0,0.0
AMD A6-5400B APU,2013-11-01,FM2,Desktop,3600.0,3800.0,1,1,2,64.0,2048.0,0.0
AMD A6-5400K APU,2012-10-01,FM2,Desktop,3600.0,3800.0,1,1,2,64.0,2048.0,0.0
AMD A6-6310 APU,2014-07-01,FT3,Laptop,1800.0,2400.0,1,4,1,64.0,2048.0,0.0
