name,price,tdp,date,socket,category,speed,turbo,cpuCount,cores,logicals,rank,samples,l1_cache,l2_cache,l3_cache
AMD A4-6250J APU,0.0,25.0,2014-12-01,Unknown,Unknown,2000.0,0.0,1,4,1,2465,12,64.0,2048.0,0.0
AMD A4-6300 APU,42.02,65.0,2013-11-01,FM2,Desktop,3700.0,3900.0,1,1,2,2618,407,64.0,2048.0,0.0
AMD A4-6300B APU,27.95,65.0,2013-12-01,Unknown,Desktop,3700.0,3900.0,1,1,2,2691,15,64.0,2048.0,0.0
AMD A4-6320 APU,69.99,65.0,2014-04-01,FM2,Desktop,3800.0,4000.0,1,1,2,2545,34,64.0,2048.0,0.0
AMD A4-7210 APU,0.0,25.0,2015-07-01,BGA,Laptop,1800.0,2200.0,1,4,1,2454,122,64.0,2048.0,0.0
AMD A4-7300 APU,18.8,65.0,2014-09-01,FM2,Desktop,3800.0,4000.0,1,1,2,2578,205,64.0,2048.0,0.0
AMD A4-9120,0.0,15.0,2017-09-01,BGA,Laptop,2200.0,2500.0,1,2,1,2804,47,64.0,2048.0,0.0
AMD A4-9120C,0.0,6.0,2019-08-01,FT4,Laptop,1600.0,2400.0,1,2,1,3156,19,64.0,2048.0,0.0
AMD A4-9120e,0.0,0.0,2019-06-01,FT4,Laptop,1500.0,2200.0,1,2,1,3115,36,64.0,2048.0,0.0
AMD A4-9125,0.0,15.0,2018-11-01,BGA (FT4),Laptop,2300.0,2600.0,1,2,1,2783,139,64.0,2048.0,0.0
AMD A6 Micro-6500T APU,0.0,0.0,2016-01-01,Unknown,Laptop,1200.0,0.0,1,4,1,2843,1,64.0,2048.0,0.0
AMD A6 PRO-7050B APU,0.0,17.0,2014-09-01,FP3,Laptop,2200.0,3000.0,1,2,1,2959,31,64.0,2048.0,0.0
AMD A6 PRO-7400B,0.0,65.0,2014-12-01,FM2+,Desktop,3500.0,3900.0,1,1,2,2478,17,64.0,2048.0,0.0
AMD A6-1450 APU,0.0,8.0,2013-05-01,FT3,Laptop,1000.0,1400.0,1,4,1,2869,139,64.0,2048.0,0.0
AMD A6-3400M APU,24.45,35.0,2011-06-01,FS1,Laptop,1400.0,2300.0,1,4,1,2796,661,64.0,2048.0,0.0
AMD A6-3410MX APU,3.99,45.0,2011-07-01,FS1,Laptop,1600.0,2300.0,1,4,1,2785,139,64.0,2048.0,0.0
